<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МТС-ао;D;20170103;000000;259,95;268,4;259;262,65;1673950;0
МТС-ао;D;20170104;000000;262,85;263,1;257,05;259,3;1058480;0
МТС-ао;D;20170105;000000;260,8;264,75;258;260,5;1289430;0
МТС-ао;D;20170106;000000;259,45;262,7;254;257;914080;0
МТС-ао;D;20170109;000000;257;259,55;255,45;258,4;674840;0
МТС-ао;D;20170110;000000;258,4;261,3;253,6;255,7;1859190;0
МТС-ао;D;20170111;000000;255,05;258,2;255;257,1;1502130;0
МТС-ао;D;20170112;000000;259;260;251,65;257,95;3167350;0
МТС-ао;D;20170113;000000;259;263,55;256,95;262,95;2580300;0
МТС-ао;D;20170116;000000;262,1;264,95;259,2;263,35;607330;0
МТС-ао;D;20170117;000000;262,8;267,1;258,65;265;2776990;0
МТС-ао;D;20170118;000000;264;265,9;261,5;263,6;1792010;0
МТС-ао;D;20170119;000000;263,55;269,3;262;268;2493110;0
МТС-ао;D;20170120;000000;270,15;275,1;268,1;272,9;3925650;0
МТС-ао;D;20170123;000000;272,9;274,8;266,2;267,7;1681420;0
МТС-ао;D;20170124;000000;267,8;269,85;265,1;265,7;1243230;0
МТС-ао;D;20170125;000000;266;269,7;265,7;268;1074460;0
МТС-ао;D;20170126;000000;268;279;268;277,5;3539150;0
МТС-ао;D;20170127;000000;277,45;279,55;273,05;277,05;1472440;0
МТС-ао;D;20170130;000000;277,5;278,95;273,9;276,35;781080;0
МТС-ао;D;20170131;000000;275,55;277,65;271,2;275,7;939530;0
МТС-ао;D;20170201;000000;277;280,65;272,8;279;1691850;0
МТС-ао;D;20170202;000000;279,4;279,9;272,7;272,7;1220550;0
МТС-ао;D;20170203;000000;274,55;277,5;272,85;274,35;682050;0
МТС-ао;D;20170206;000000;275,75;275,75;271;271,9;1072710;0
МТС-ао;D;20170207;000000;272,7;277,95;271,45;275,9;1694090;0
МТС-ао;D;20170208;000000;274,95;275,45;271,1;271,1;949130;0
МТС-ао;D;20170209;000000;272,45;273,7;269,1;272,2;721130;0
МТС-ао;D;20170210;000000;272,35;273;270,2;272,1;641240;0
МТС-ао;D;20170213;000000;272;273,9;268,05;270,75;882900;0
МТС-ао;D;20170214;000000;270,85;270,95;265,55;267,6;757580;0
МТС-ао;D;20170215;000000;266,4;280,65;263,5;273,45;4278620;0
МТС-ао;D;20170216;000000;273;278;270,7;277,45;1541030;0
МТС-ао;D;20170217;000000;277,4;279;272,45;277,5;1389270;0
МТС-ао;D;20170220;000000;277,5;283,65;274,85;281;1814020;0
МТС-ао;D;20170221;000000;281,05;282,5;278,25;278,55;1926980;0
МТС-ао;D;20170222;000000;278,5;280,9;276,25;279;1253820;0
МТС-ао;D;20170224;000000;278,55;279,8;276,4;277,05;509860;0
МТС-ао;D;20170227;000000;277,05;278;272,5;274,35;921780;0
МТС-ао;D;20170228;000000;274,3;277;271,5;275,5;2402360;0
МТС-ао;D;20170301;000000;279,6;279,6;272,6;273,3;1185290;0
МТС-ао;D;20170302;000000;274,95;278;273,7;275;2278430;0
МТС-ао;D;20170303;000000;274,65;275,5;273;274,55;1215030;0
МТС-ао;D;20170306;000000;274,55;278;273;273;1302300;0
МТС-ао;D;20170307;000000;273,95;274,6;267,25;270;1438000;0
МТС-ао;D;20170309;000000;268,05;270;256;257;3069860;0
МТС-ао;D;20170310;000000;256,4;260;249,15;255,2;1527010;0
МТС-ао;D;20170313;000000;255,05;272;250,5;271,8;2852190;0
МТС-ао;D;20170314;000000;270,95;273;263,6;269;1460550;0
МТС-ао;D;20170315;000000;268,95;271,55;259,4;260,1;1741480;0
МТС-ао;D;20170316;000000;262,3;269,6;261;269,6;2763460;0
МТС-ао;D;20170317;000000;269;272,3;264,5;268,15;3224070;0
МТС-ао;D;20170320;000000;269,1;275,85;265,45;275,35;2969540;0
МТС-ао;D;20170321;000000;275,35;284,7;273,15;283,75;2607750;0
МТС-ао;D;20170322;000000;280,05;287,8;276,25;287,5;1729170;0
МТС-ао;D;20170323;000000;287,95;293,5;282,1;290;2766940;0
МТС-ао;D;20170324;000000;288,85;291,25;287,15;288,85;1204990;0
МТС-ао;D;20170327;000000;288,1;288,6;280;283;1539350;0
МТС-ао;D;20170328;000000;283,65;287,65;282,25;284,5;1016930;0
МТС-ао;D;20170329;000000;286;287,45;284,75;285,05;579750;0
МТС-ао;D;20170330;000000;284,7;286,5;280,1;280,25;713280;0
МТС-ао;D;20170331;000000;279,5;279,5;272,6;272,6;1162190;0
МТС-ао;D;20170403;000000;272,4;276,2;271,3;273,55;742960;0
МТС-ао;D;20170404;000000;273,3;281,8;270,6;279,1;1045870;0
МТС-ао;D;20170405;000000;280,4;283,9;276,4;278,95;757680;0
МТС-ао;D;20170406;000000;278;285,9;276,65;284,55;1034840;0
МТС-ао;D;20170407;000000;282,9;285;278;281,25;1211040;0
МТС-ао;D;20170410;000000;281,25;281,25;273,4;273,5;1098650;0
МТС-ао;D;20170411;000000;273,5;276,65;271,5;275,6;1059190;0
МТС-ао;D;20170412;000000;277,5;279,8;271,25;275;1704510;0
МТС-ао;D;20170413;000000;276;281,4;268,25;274,5;1941410;0
МТС-ао;D;20170414;000000;275,6;276,95;270,15;270,8;489330;0
МТС-ао;D;20170417;000000;270,85;273,8;269;272,25;307750;0
МТС-ао;D;20170418;000000;273,75;275,15;268,65;269,1;515080;0
МТС-ао;D;20170419;000000;270;271,4;265,5;268,1;977450;0
МТС-ао;D;20170420;000000;266,2;267,05;263,05;265,9;609060;0
МТС-ао;D;20170421;000000;268,05;270,9;265;266,55;606860;0
МТС-ао;D;20170424;000000;269,8;274,35;268;274,35;876290;0
МТС-ао;D;20170425;000000;274,4;282;271,25;277,3;1379980;0
МТС-ао;D;20170426;000000;278,25;278,55;273,3;277,6;1033560;0
МТС-ао;D;20170427;000000;276,9;278,8;273,55;274,4;699380;0
МТС-ао;D;20170428;000000;275,8;280;272,2;273,85;1187300;0
МТС-ао;D;20170502;000000;275,2;277,5;271,15;276;887470;0
МТС-ао;D;20170503;000000;270,1;272;246;247,3;11848100;0
МТС-ао;D;20170504;000000;248;255,2;242,3;246,5;8252970;0
МТС-ао;D;20170505;000000;244,8;256,8;243,55;256;3747090;0
МТС-ао;D;20170510;000000;260;265,4;256;256;4148410;0
МТС-ао;D;20170511;000000;257,55;261,15;250,9;253,1;2306330;0
МТС-ао;D;20170512;000000;253,1;253,1;248,1;250,9;1445610;0
МТС-ао;D;20170515;000000;249,05;252,9;241,15;246,5;2954430;0
МТС-ао;D;20170516;000000;247,5;247,65;238,75;241,45;5594340;0
МТС-ао;D;20170517;000000;240,95;245,35;239,6;243,7;2231980;0
МТС-ао;D;20170518;000000;241;245,4;240,35;244,25;2149400;0
МТС-ао;D;20170519;000000;244,4;245,35;241;242,4;1811040;0
МТС-ао;D;20170522;000000;242,4;244,4;240,65;243,6;1153950;0
МТС-ао;D;20170523;000000;242,35;248,8;242,35;246,4;1980930;0
МТС-ао;D;20170524;000000;243;244,5;240,7;243,05;1595850;0
МТС-ао;D;20170525;000000;243,25;244,5;241,55;242;972580;0
МТС-ао;D;20170526;000000;241;243,4;240,75;243,05;1426960;0
МТС-ао;D;20170529;000000;243;243,9;241,7;243;473530;0
МТС-ао;D;20170530;000000;243;247,9;242,25;246,05;2204220;0
МТС-ао;D;20170531;000000;246,1;248,75;236,5;236,5;4500200;0
МТС-ао;D;20170601;000000;238,15;242;237,6;241,05;1527040;0
МТС-ао;D;20170602;000000;241,75;249,8;238,05;248,8;4143750;0
МТС-ао;D;20170605;000000;249;253,85;247,5;248,7;1845280;0
МТС-ао;D;20170606;000000;250,15;253,05;246,25;248,05;2255490;0
МТС-ао;D;20170607;000000;249,05;253,3;244,55;250;1670420;0
МТС-ао;D;20170608;000000;250;251,95;246,5;249;964270;0
МТС-ао;D;20170609;000000;248,6;252,25;247;252,25;861940;0
МТС-ао;D;20170613;000000;251,2;253,5;248,8;249,65;1870250;0
МТС-ао;D;20170614;000000;249,2;252,35;245;245;1895660;0
МТС-ао;D;20170615;000000;243,45;245,9;235,1;240,75;5779300;0
МТС-ао;D;20170616;000000;240;243,75;237,5;237,5;2344770;0
МТС-ао;D;20170619;000000;238,85;243;238,55;239,4;1372860;0
МТС-ао;D;20170620;000000;240,5;249;239;242,95;3277840;0
МТС-ао;D;20170621;000000;242,9;243,3;239,5;240,35;878810;0
МТС-ао;D;20170622;000000;239,9;243,15;238,45;242;1097090;0
МТС-ао;D;20170623;000000;242,3;246,55;240,05;244,3;1267280;0
МТС-ао;D;20170626;000000;245,75;246,45;239,05;239,05;1824590;0
МТС-ао;D;20170627;000000;229;235,4;226,7;232;9724870;0
МТС-ао;D;20170628;000000;232;235,4;230,15;235,05;2132300;0
МТС-ао;D;20170629;000000;235,45;237;233,55;234;2005580;0
МТС-ао;D;20170630;000000;233,65;237,25;232,85;234,5;1979250;0
МТС-ао;D;20170703;000000;235;237,55;234,05;237;1911480;0
МТС-ао;D;20170704;000000;237,25;239,7;237,25;239,5;1672270;0
МТС-ао;D;20170705;000000;239,3;240,1;237,5;237,55;1919640;0
МТС-ао;D;20170706;000000;237,05;239,35;236,55;237,55;2678360;0
МТС-ао;D;20170707;000000;224,8;226,1;224;224,05;2397470;0
МТС-ао;D;20170710;000000;225;226;223,05;225,6;1521900;0
МТС-ао;D;20170711;000000;225,65;228,7;223,6;227,95;1839770;0
МТС-ао;D;20170712;000000;227,6;231;226,6;229,95;1854470;0
МТС-ао;D;20170713;000000;230,95;233,45;230,3;233,45;1961930;0
МТС-ао;D;20170714;000000;233;236,5;232,6;236,4;1342490;0
МТС-ао;D;20170717;000000;236,4;237;233,65;234,8;936100;0
МТС-ао;D;20170718;000000;234,05;236,75;232,4;232,8;842420;0
МТС-ао;D;20170719;000000;232,05;233,1;230,1;231;983400;0
МТС-ао;D;20170720;000000;230,8;233,35;230,55;233,25;841990;0
МТС-ао;D;20170721;000000;232,5;234,45;230,15;230,55;912780;0
МТС-ао;D;20170724;000000;230,6;235,3;228,35;234,6;1258060;0
МТС-ао;D;20170725;000000;233,75;237,35;230,55;236,4;1688640;0
МТС-ао;D;20170726;000000;236;237,95;233,7;237,25;1409600;0
МТС-ао;D;20170727;000000;237,05;238,55;235,5;237,8;871620;0
МТС-ао;D;20170728;000000;238,3;238,3;233,35;236,95;1425380;0
МТС-ао;D;20170731;000000;236,9;238;233,6;236,2;2585200;0
МТС-ао;D;20170801;000000;236,65;238,85;235,8;236,7;2042470;0
МТС-ао;D;20170802;000000;236,85;240,6;236,15;240,1;1513480;0
МТС-ао;D;20170803;000000;240;244,45;240;243,3;1370760;0
МТС-ао;D;20170804;000000;243,45;244,55;240;241,05;1704280;0
МТС-ао;D;20170807;000000;241,9;243,7;241,1;241,6;874820;0
МТС-ао;D;20170808;000000;240,7;243,7;240,7;243,55;1098650;0
МТС-ао;D;20170809;000000;243,1;243,85;241,4;242;1293450;0
МТС-ао;D;20170810;000000;241,45;242,9;240,1;240,6;668550;0
МТС-ао;D;20170811;000000;240;242,9;240;241,3;2788100;0
МТС-ао;D;20170814;000000;242,75;244,4;241,45;243,85;776640;0
МТС-ао;D;20170815;000000;243,85;245,95;243,6;243,8;839160;0
